what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1477500331984
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1477500332053
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477500335084
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1477500335391
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1477500335414
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1477500335427
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1477500335497
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1477500335542
started,bundle,org.eclipse.mylyn.tasks.index.core,3.8.4.v20130429-0100,"org.eclipse.mylyn.tasks.index.core",1477500335741
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1477500337526
started,bundle,org.eclipse.mylyn.commons.notifications.ui,1.0.4.v20130429-0100,"org.eclipse.mylyn.commons.notifications.ui",1477500337755
opened,view,org.eclipse.mylyn.tasks.ui,3.8.4.v20130429-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1477500337885
activated,perspective,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1477500337901
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1477500337932
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1477500338159
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1477500341592
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1477500341592
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1477500343626
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1477500359350
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1477500359750
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1477500359755
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1477500359813
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1477500359814
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477500365943
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477500371671
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1477500373374
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1477500378914
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477500380469
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1477500381685
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1477500381712
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1477500381969
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1477500382243
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1477500382389
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477500382863
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1477500382902
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1477500382902
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477500383703
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477500389274
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477500396876
error,log,,,"Could not auto-share project PruebaG1",1477500407681
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477500407753
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1477500410724
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1477500411593
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477500421265
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477500435068
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477500438219
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477500438718
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1477500438723
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1477500438723
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477500439774
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477500443373
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477500445503
error,log,,,"Could not auto-share project G1",1477500499602
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477500499652
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477500508680
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477500517868
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1477500520566
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1477500520835
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1477500521036
